,Country_Region,Confirmed,Deaths
3857,US,1742,28
3858,US,28053,380
3859,US,9709,136
3860,US,5855,70
3861,US,4171,43
3862,US,16134,155
3863,US,4388,49
3864,US,103132,625
3865,US,4194,14
3866,US,5145,45
3867,US,16917,138
3868,US,22234,220
3869,US,9070,133
3870,US,19687,149
3871,US,5361,32
3872,US,179419,647
3873,US,33020,378
3874,US,8791,91
3875,US,14473,95
3876,US,15619,85
3877,US,36682,215
3878,US,1350,17
3879,US,39260,317
3880,US,3349,56
3881,US,15513,163
3882,US,11674,65
3883,US,6385,72
3884,US,6894,34
3885,US,1818,50
3886,US,6954,46
3887,US,26944,270
3888,US,9427,76
3889,US,56650,720
3890,US,6842,71
3891,US,43695,222
3892,US,4446,33
3893,US,6762,108
3894,US,9040,160
3895,US,25188,220
3896,US,49540,550
3897,US,14581,149
3898,US,4644,71
3899,US,2411,16
3900,US,341679,2501
3901,US,14773,113
3902,US,13380,135
3903,US,10958,152
3904,US,64645,451
3905,US,27875,213
3906,US,2307,20
3907,US,13517,78
3908,US,15166,132
3909,US,22890,178
3910,US,4090,42
3911,US,71350,761
3912,US,4995,57
3913,US,55399,463
3914,US,4189,62
3915,US,20998,166
3916,US,6060,71
3917,US,14345,166
3918,US,39446,362
3919,US,30696,168
3920,US,5796,83
3921,US,9970,75
3922,US,0,0
3923,US,7686,119
3924,US,6511,108
3925,US,33399,312
3926,US,5041,52
3927,US,46894,371
3928,US,139825,1248
3929,US,16370,266
3930,US,7659,94
3931,US,63957,418
3932,US,27057,268
3933,US,11581,54
3934,US,3086,66
3935,US,13903,161
3936,US,5023,55
3937,US,3686,58
3938,US,1579,32
3939,US,16863,204
3940,US,4604,65
3941,US,1440,20
3942,US,2377,21
3943,US,31608,322
3944,US,4908,38
3945,US,25821,309
3946,US,863,12
3947,US,7713,153
3948,US,2299,44
3949,US,10008,90
3950,US,2316,28
3951,US,12507,139
3952,US,12134,16
3953,US,6406,43
3954,US,0,0
3955,US,2755,51
3956,US,1905,23
3957,Uganda,170544,3630
3958,Ukraine,163768,2973
3959,Ukraine,126202,2751
3960,Ukraine,150465,3290
3961,Ukraine,212928,5423
3962,Ukraine,303551,9454
3963,Ukraine,216052,5607
3964,Ukraine,181629,3476
3965,Ukraine,305661,6858
3966,Ukraine,107686,2881
3967,Ukraine,201270,3703
3968,Ukraine,445098,8966
3969,Ukraine,226220,5019
3970,Ukraine,45117,1741
3971,Ukraine,80033,2392
3972,Ukraine,303357,6569
3973,Ukraine,146174,3530
3974,Ukraine,325462,5917
3975,Ukraine,179994,4181
3976,Ukraine,171031,2530
3977,Ukraine,99770,2562
3978,Ukraine,182268,3208
3979,Ukraine,146363,2391
3980,Ukraine,589607,5793
3981,Ukraine,149845,3546
3982,Ukraine,132045,2394
3983,Ukraine,112462,2724
3984,Ukraine,215070,5866
3985,Ukraine,192801,3538
3986,United Arab Emirates,1053213,2349
3987,United Kingdom,3904,12
3988,United Kingdom,18828,160
3989,United Kingdom,7305,64
3990,United Kingdom,31472,37
3991,United Kingdom,0,0
3992,United Kingdom,20656177,186138
3993,United Kingdom,1930,0
3994,United Kingdom,20433,111
3995,United Kingdom,34991,66
3996,United Kingdom,38008,116
3997,United Kingdom,66391,161
3998,United Kingdom,1403,8
3999,United Kingdom,713294,5166
4000,United Kingdom,4,0
4001,United Kingdom,2166,0
4002,United Kingdom,2157720,16806
4003,United Kingdom,6561,38
4004,United Kingdom,0,338
4005,United Kingdom,898118,11500
4006,Uruguay,1034303,7617
4007,Uzbekistan,251247,1637
4008,Vanuatu,12014,14
4009,Venezuela,552162,5854
4010,Vietnam,11526994,43186
4011,West Bank and Gaza,703228,5708
4012,Winter Olympics 2022,535,0
4013,Yemen,11945,2159
4014,Zambia,343135,4057
4015,Zimbabwe,264276,5671
